Sample_ID	Strain_Type
KP745649	lab
KP745648	lab
KP745647	lab
KP745646	lab
KP745645	lab
KP745644	lab
KP745643	lab
KP745642	lab
KP745641	lab
KP745640	lab
KP745639	lab
KP745638	lab
KP745637	lab
KP745636	lab
KP745635	lab
KP745634	lab
KP745633	lab
KC519323	lab
KC519321	lab
KC519320	lab
KC519319	lab
GU179291	lab
GU179290	lab
GU179289	lab
GU179288	lab
GQ466044	lab
GQ396663	lab
GQ396662	lab
GQ221975	lab
GQ221973	lab
FJ527563	lab
AC146907	lab
AY315197	lab
ON119191	lab
OK000912	lab
OK000911	lab
OK000910	lab
MF084224	lab
MF084223	lab
KF493877	lab
GQ121041	lab
KF493876	lab
FV537025	lab
FV537024	lab
FV537023	lab
FV537022	lab
